KO	Pathway	Pathway Name
K07404	ko00030	Pentose phosphate pathway
K13937	ko00030	Pentose phosphate pathway
K00033	ko00030	Pentose phosphate pathway
K01783	ko00030	Pentose phosphate pathway
K00615	ko00030	Pentose phosphate pathway
K00616	ko00030	Pentose phosphate pathway
K01807	ko00030	Pentose phosphate pathway
K01808	ko00030	Pentose phosphate pathway
K13812	ko00030	Pentose phosphate pathway
K08093	ko00030	Pentose phosphate pathway
K08094	ko00030	Pentose phosphate pathway
K13831	ko00030	Pentose phosphate pathway
K11214	ko00030	Pentose phosphate pathway
K01621	ko00030	Pentose phosphate pathway
K01619	ko00030	Pentose phosphate pathway
K00852	ko00030	Pentose phosphate pathway
K01839	ko00030	Pentose phosphate pathway
K22199	ko00030	Pentose phosphate pathway
K01835	ko00030	Pentose phosphate pathway
K15778	ko00030	Pentose phosphate pathway
K15779	ko00030	Pentose phosphate pathway
K21056	ko00030	Pentose phosphate pathway
K26208	ko00030	Pentose phosphate pathway
K18237	ko00030	Pentose phosphate pathway
K05774	ko00030	Pentose phosphate pathway
K00948	ko00030	Pentose phosphate pathway
K01690	ko00030	Pentose phosphate pathway
K01625	ko00030	Pentose phosphate pathway
K17463	ko00030	Pentose phosphate pathway
K11395	ko00030	Pentose phosphate pathway
K00131	ko00030	Pentose phosphate pathway
K18978	ko00030	Pentose phosphate pathway
K00034	ko00030	Pentose phosphate pathway
K22969	ko00030	Pentose phosphate pathway
K21840	ko00030	Pentose phosphate pathway
K18124	ko00030	Pentose phosphate pathway
K18125	ko00030	Pentose phosphate pathway
K00115	ko00030	Pentose phosphate pathway
K19813	ko00030	Pentose phosphate pathway
K00117	ko00030	Pentose phosphate pathway
K01053	ko00030	Pentose phosphate pathway
K06151	ko00030	Pentose phosphate pathway
K06152	ko00030	Pentose phosphate pathway
K00090	ko00030	Pentose phosphate pathway
K22229	ko00030	Pentose phosphate pathway
K11441	ko00030	Pentose phosphate pathway
K00032	ko00030	Pentose phosphate pathway
K00851	ko00030	Pentose phosphate pathway
K25031	ko00030	Pentose phosphate pathway
K05308	ko00030	Pentose phosphate pathway
K00874	ko00030	Pentose phosphate pathway
K18126	ko00030	Pentose phosphate pathway
K18127	ko00030	Pentose phosphate pathway
K03738	ko00030	Pentose phosphate pathway
K18020	ko00030	Pentose phosphate pathway
K18021	ko00030	Pentose phosphate pathway
K18022	ko00030	Pentose phosphate pathway
K18128	ko00030	Pentose phosphate pathway
K11529	ko00030	Pentose phosphate pathway
K22345	ko00030	Pentose phosphate pathway
K17464	ko00030	Pentose phosphate pathway
K17465	ko00030	Pentose phosphate pathway
K17466	ko00030	Pentose phosphate pathway
K17467	ko00030	Pentose phosphate pathway
K17468	ko00030	Pentose phosphate pathway
K01623	ko00030	Pentose phosphate pathway
K11645	ko00030	Pentose phosphate pathway
K01624	ko00030	Pentose phosphate pathway
K01622	ko00030	Pentose phosphate pathway
K16305	ko00030	Pentose phosphate pathway
K16306	ko00030	Pentose phosphate pathway
K03841	ko00030	Pentose phosphate pathway
K02446	ko00030	Pentose phosphate pathway
K11532	ko00030	Pentose phosphate pathway
K01086	ko00030	Pentose phosphate pathway
K04041	ko00030	Pentose phosphate pathway
K24182	ko00030	Pentose phosphate pathway
K00850	ko00030	Pentose phosphate pathway
K16370	ko00030	Pentose phosphate pathway
K21071	ko00030	Pentose phosphate pathway
K00918	ko00030	Pentose phosphate pathway
K00895	ko00030	Pentose phosphate pathway
K01051	ko00040	Pentose and glucuronate interconversions
K22539	ko00040	Pentose and glucuronate interconversions
K01728	ko00040	Pentose and glucuronate interconversions
K19551	ko00040	Pentose and glucuronate interconversions
K01731	ko00040	Pentose and glucuronate interconversions
K22994	ko00040	Pentose and glucuronate interconversions
K01730	ko00040	Pentose and glucuronate interconversions
K26933	ko00040	Pentose and glucuronate interconversions
K01815	ko00040	Pentose and glucuronate interconversions
K00065	ko00040	Pentose and glucuronate interconversions
K01184	ko00040	Pentose and glucuronate interconversions
K01213	ko00040	Pentose and glucuronate interconversions
K22933	ko00040	Pentose and glucuronate interconversions
K01812	ko00040	Pentose and glucuronate interconversions
K00041	ko00040	Pentose and glucuronate interconversions
K01685	ko00040	Pentose and glucuronate interconversions
K16849	ko00040	Pentose and glucuronate interconversions
K16850	ko00040	Pentose and glucuronate interconversions
K01686	ko00040	Pentose and glucuronate interconversions
K08323	ko00040	Pentose and glucuronate interconversions
K00040	ko00040	Pentose and glucuronate interconversions
K21619	ko00040	Pentose and glucuronate interconversions
K08322	ko00040	Pentose and glucuronate interconversions
K18106	ko00040	Pentose and glucuronate interconversions
K19634	ko00040	Pentose and glucuronate interconversions
K18102	ko00040	Pentose and glucuronate interconversions
K18103	ko00040	Pentose and glucuronate interconversions
K18107	ko00040	Pentose and glucuronate interconversions
K01195	ko00040	Pentose and glucuronate interconversions
K14756	ko00040	Pentose and glucuronate interconversions
K00699	ko00040	Pentose and glucuronate interconversions
